Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Non-Tier 1,"401 Fieldcrest Dr. Elmsford, NY 10523",2554,,32.22,,Yes,Yes,Fuel Cell,,,,,,,Dunwoodie,,,,,,10523,Westchester,NY,Mid-Hudson,Operational,2014,2015,10,0.8,0.76,6325,6325,,,,POINT (-73.81937 41.05419)
12/11/2024,Non-Tier 1,AES Greenidge,1168,,19.25,,Yes,,Biomass,,,,,,,Central,,,,,,14527,Yates,NY,Finger Lakes,Cancelled,2009,,3,4,,28500,28500,,,,POINT (-77.0553 42.66363)
12/11/2024,Tier 1,Alabama Solar Park,RESRFP20-1,,,,Yes,,Solar,New,,"Alabama Solar Park, LLC",EDPR,20,80,Genesee,,995,ORES,,,14125,Genesee,NY,Finger Lakes,Cancelled,,,20,130,130,258508,310209,,,,POINT (-78.27071 43.06599)
12/11/2024,Non-Tier 1,Albany 1,1851,,13.85,,,,Biogas - LFG,,,,,,,Capital,323615,,,,,12205,Albany,NY,Capital Region,Completed,2010,2011,10,0.9,0.86,5625,5625,,,,POINT (-73.79864 42.69493)
12/11/2024,Non-Tier 1,Albany 2,2226,,14.95,,Yes,Yes,Biogas - LFG,,,,,,,Capital,323615,,,,,12205,Albany,NY,Capital Region,Completed,2012,2012,10,3.2,3,22340,22340,,,,POINT (-73.79864 42.69493)
12/11/2024,Tier 1,Alfred Oaks Solar,RESRFP21-1,,,,Yes,,Solar,New,,"Alfred Oaks Solar, LLC",Northland Power,20,40,Central,,1096,ORES,https://orespermits.ny.gov/Public/MatterManagement/CaseMaster.aspx?MatterSeq=64954&MNO=22-00030,,14806,Allegany,NY,Western New York,Cancelled,,,20,100,100,183960,220752,,,,POINT (-77.79301 42.16039)
12/11/2024,Tier 1,Alle-Catt Wind,RESRFP23-1,,,93.65,,,Land Based Wind,New,,Alle-Catt Wind Energy LLC,Invenergy,,,West,,596,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,,14065,Cattaraugus,NY,Western New York,Under Development,,2027,20,340,340,1007624,1209148,,,,POINT (-78.38541 42.49798)
12/11/2024,Tier 1,Alle-Catt Wind Farm,RESRFP17-1,,,65.62,Yes,,Land Based Wind,New,,Alle-Catt Wind Energy LLC,Invenergy,,,West,,596,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,,14009,Cattaraugus,NY,Western New York,Cancelled,,,20,339.78,339.78,977474,1172968,,,,POINT (-78.42825 42.53383)
12/11/2024,Non-Tier 1,Allens Falls,1037,,8.50,,,,Hydroelectric,,,,,,,Mohawk Valley,24042,,,,,13676,St Lawrence,NY,North Country,Completed,2007,2008,10,0.3,0.3,1523,1675,,,,POINT (-74.98656 44.66987)
12/11/2024,Non-Tier 1,Altona,1037,,17.55,,Yes,Yes,Land Based Wind,,,,,,,North,323606,,,,,12910,Clinton,NY,North Country,Completed,2009,2009,10,102,96.9,179316,188282,,,,POINT (-73.65582 44.88942)
