,Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference,Median Household Income
0,12/11/2024,Non-Tier 1,"401 Fieldcrest Dr. Elmsford, NY 10523",2554,,32.22,,Yes,Yes,Fuel Cell,,,,,,,Dunwoodie,,,,,,10523,Westchester,NY,Mid-Hudson,Operational,2014.0,2015.0,10.0,0.8,0.76,6325.0,6325.0,,,,POINT (-73.81937 41.05419),100000.0
1,12/11/2024,Non-Tier 1,AES Greenidge,1168,,19.25,,Yes,,Biomass,,,,,,,Central,,,,,,14527,Yates,NY,Finger Lakes,Cancelled,2009.0,,3.0,4.0,,28500.0,28500.0,,,,POINT (-77.0553 42.66363),65000.0
2,12/11/2024,Tier 1,Alabama Solar Park,RESRFP20-1,,,,Yes,,Solar,New,,"Alabama Solar Park, LLC",EDPR,20.0,80.0,Genesee,,995.0,ORES,,,14125,Genesee,NY,Finger Lakes,Cancelled,,,20.0,130.0,130.0,258508.0,310209.0,,,,POINT (-78.27071 43.06599),72000.0
3,12/11/2024,Non-Tier 1,Albany 1,1851,,13.85,,,,Biogas - LFG,,,,,,,Capital,323615,,,,,12205,Albany,NY,Capital Region,Completed,2010.0,2011.0,10.0,0.9,0.86,5625.0,5625.0,,,,POINT (-73.79864 42.69493),58000.0
4,12/11/2024,Non-Tier 1,Albany 2,2226,,14.95,,Yes,Yes,Biogas - LFG,,,,,,,Capital,323615,,,,,12205,Albany,NY,Capital Region,Completed,2012.0,2012.0,10.0,3.2,3.0,22340.0,22340.0,,,,POINT (-73.79864 42.69493),58000.0
5,12/11/2024,Tier 1,Alfred Oaks Solar,RESRFP21-1,,,,Yes,,Solar,New,,"Alfred Oaks Solar, LLC",Northland Power,20.0,40.0,Central,,1096.0,ORES,https://orespermits.ny.gov/Public/MatterManagement/CaseMaster.aspx?MatterSeq=64954&MNO=22-00030,,14806,Allegany,NY,Western New York,Cancelled,,,20.0,100.0,100.0,183960.0,220752.0,,,,POINT (-77.79301 42.16039),64625.0
6,12/11/2024,Tier 1,Alle-Catt Wind,RESRFP23-1,,,93.65,,,Land Based Wind,New,,Alle-Catt Wind Energy LLC,Invenergy,,,West,,596.0,Article 10,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,,14065,Cattaraugus,NY,Western New York,Under Development,,2027.0,20.0,340.0,340.0,1007624.0,1209148.0,,,,POINT (-78.38541 42.49798),68000.0
7,12/11/2024,Tier 1,Alle-Catt Wind Farm,RESRFP17-1,,,65.62,Yes,,Land Based Wind,New,,Alle-Catt Wind Energy LLC,Invenergy,,,West,,596.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=17-F-0282,,14009,Cattaraugus,NY,Western New York,Cancelled,,,20.0,339.78,339.78,977474.0,1172968.0,,,,POINT (-78.42825 42.53383),64625.0
8,12/11/2024,Non-Tier 1,Allens Falls,1037,,8.5,,,,Hydroelectric,,,,,,,Mohawk Valley,24042,,,,,13676,St Lawrence,NY,North Country,Completed,2007.0,2008.0,10.0,0.3,0.3,1523.0,1675.0,,,,POINT (-74.98656 44.66987),56000.0
9,12/11/2024,Non-Tier 1,Altona,1037,,17.55,,Yes,Yes,Land Based Wind,,,,,,,North,323606,,,,,12910,Clinton,NY,North Country,Completed,2009.0,2009.0,10.0,102.0,96.9,179316.0,188282.0,,,,POINT (-73.65582 44.88942),64625.0
10,12/11/2024,Tier 1,Arkwright Summit,2985,,21.75,,Yes,Yes,Land Based Wind,New,,Arkwright Summit Wind Farm LLC,EDP Renewables,,,West,323751,,,,,14063,Chautauqua,NY,Western New York,Operational,2018.0,2020.0,20.0,78.4,75.58,229873.0,229873.0,,,,POINT (-79.33186 42.44029),64625.0
