Project Name,Renewable Technology,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),New Renewable Capacity (MW),ZIP Code,County/Province,State/Province,Georeference,Household_Income,Normalized Capacity,Environmental Score,Social Score
Attentive Energy One,Offshore Wind,96.13333333333334,75.42857142857143,1404.0,,,,,88311.0,1.0,100.0,10
Excelsior Wind A,Offshore Wind,96.13333333333334,75.42857142857143,1314.0,,,,,67962.0,0.9358974358974359,93.58974358974359,30
Community Offshore Wind 1,Offshore Wind,96.13333333333334,75.42857142857143,1314.0,,,,,67946.0,0.9358974358974359,93.58974358974359,30
Empire Wind 2,Offshore Wind,96.13333333333334,75.42857142857143,1260.0,,,,,59278.0,0.8974358974358975,89.74358974358975,45
Beacon Wind,Offshore Wind,96.13333333333334,75.42857142857143,1230.0,,,,,70076.0,0.8760683760683761,87.6068376068376,20
Sunrise Wind,Offshore Wind,96.13333333333334,75.42857142857143,924.0,,,,,96920.0,0.6581196581196581,65.8119658119658,10
Sunrise Wind,Offshore Wind,96.13333333333334,75.42857142857143,924.0,,,,,89874.0,0.6581196581196581,65.8119658119658,10
Empire Wind,Offshore Wind,96.13333333333334,75.42857142857143,816.0,,,,,118452.0,0.5811965811965812,58.119658119658126,5
Empire Wind 1,Offshore Wind,96.13333333333334,75.42857142857143,810.0,,,,,109101.0,0.576923076923077,57.6923076923077,5
Cider Solar Farm,Solar,96.13333333333334,75.42857142857143,500.0,14058,Genesee,NY,POINT (-78.18627 43.0822),184662.0,0.3561253561253561,35.61253561253561,5
Cider Solar Farm,Solar,96.13333333333334,75.42857142857143,500.0,14125,Genesee,NY,POINT (-78.27071 43.06599),91986.0,0.3561253561253561,35.61253561253561,10
Mineral Basin Solar,Solar,96.13333333333334,75.42857142857143,401.64,16836,,PA,POINT (-78.22134 41.10312),145190.0,0.2860683760683761,28.60683760683761,5
Columbia Solar Energy Center,Solar,20.0,80.0,350.0,13357,Herkimer,NY,POINT (-75.04217 43.0184),32363.0,0.2492877492877493,24.92877492877493,75
Ridge View Solar Energy Center,Solar,20.0,80.0,350.0,14067,Niagara,NY,POINT (-78.5731 43.19823),124285.0,0.2492877492877493,24.92877492877493,5
Alle-Catt Wind,Land Based Wind,96.13333333333334,75.42857142857143,340.0,14065,Cattaraugus,NY,POINT (-78.38541 42.49798),82887.0,0.24216524216524218,24.216524216524217,10
